PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP CODE,PRICE,BEDS,BATHS,SQ. FT,YEAR BUILT
Single Family Residential,1733 E Geronimo St,Chandler,AZ,85225,429900,3,3,1575,1989
Single Family Residential,1370 E San Carlos Way,Chandler,AZ,85249,1100000,5,3.5,4461,1999
Single Family Residential,3822 E Bartlett Way,Chandler,AZ,85249,658290,4,2.5,2275,2023
Townhouse,1250 N Abbey Ln #290,Chandler,AZ,85226,500000,2,2.5,1845,2018
Single Family Residential,1231 S Amber St,Chandler,AZ,85286,459500,4,2.5,1708,2003
Townhouse,860 N Mcqueen Rd #1168,Chandler,AZ,85225,397000,3,2.5,1287,1998
Single Family Residential,5204 S San Juan Pl,Chandler,AZ,85249,1047500,4,3.5,3531,2006
Single Family Residential,1271 S Bridger Dr,Chandler,AZ,85286,470000,3,2,1358,1996
Townhouse,333 N Pennington Dr #28,Chandler,AZ,85224,499000,3,2.5,2855,1997
Single Family Residential,932 W Raven Dr,Chandler,AZ,85286,569999,3,2.5,1753,1999
Townhouse,9604 E Nacoma Dr,Sun Lakes,AZ,85248,560000,2,2,1774,2004
Townhouse,383 N Evergreen St,Chandler,AZ,85225,279900,2,2,820,1962
Single Family Residential,741 E Buena Vista Dr,Chandler,AZ,85249,1049000,5,3.5,3961,2003
Townhouse,23817 S Harmony Way,Sun Lakes,AZ,85248,409900,2,2,1500,1999
Single Family Residential,2331 W Park Ave,Chandler,AZ,85224,449900,3,2.5,1543,1990
Single Family Residential,1623 W Kaibab Dr,Chandler,AZ,85248,999900,5,3,3960,2002
Single Family Residential,25809 S Brentwood Dr,Sun Lakes,AZ,85248,389400,2,2,1384,1979
Single Family Residential,6945 S Teresa Dr,Chandler,AZ,85249,825000,5,3.5,3166,2002
Single Family Residential,421 W Hackberry Dr,Chandler,AZ,85248,1041000,5,3.5,4377,2007
Single Family Residential,1210 E Torrey Pines Ln,Chandler,AZ,85249,419000,2,2,1258,1998
Single Family Residential,2073 S Emerson St,Chandler,AZ,85286,749000,4,2.5,2579,2020
Single Family Residential,4621 E Torrey Pines Ln,Chandler,AZ,85249,550000,3,2,1959,2002
Single Family Residential,2925 S Colorado St,Chandler,AZ,85286,580990,4,3,2271,2017
Single Family Residential,9101 E Emerald Dr,Sun Lakes,AZ,85248,669000,2,2,2028,1998
Single Family Residential,10038 E Chestnut Dr,Sun Lakes,AZ,85248,525000,3,2,1823,1984
Single Family Residential,2613 E Indigo Pl,Chandler,AZ,85286,1124900,3,2.5,3375,2014
Single Family Residential,3333 E Powell Pl,Chandler,AZ,85249,1250000,5,4.5,4588,2008
Single Family Residential,670 N Delaware St,Chandler,AZ,85225,357000,3,1,1206,1958
Single Family Residential,10609 E Sunnydale Dr,Sun Lakes,AZ,85248,499000,2,2.5,1943,1985
Single Family Residential,1101 N Dustin Ln,Chandler,AZ,85226,875000,5,4,3555,1996
Single Family Residential,3361 S Santa Rita Way,Chandler,AZ,85286,740000,4,3,2579,2018
Single Family Residential,5 E Oakwood Hills Dr,Chandler,AZ,85248,2749000,4,7,5600,1989
Single Family Residential,1849 E Derringer Way,Chandler,AZ,85286,849990,5,3.5,4106,2001
Single Family Residential,1070 S Amber St,Chandler,AZ,85286,715000,4,2,2049,2001
Mobile/Manufactured Home,1650 S Arizona Ave #175,Chandler,AZ,85286,125000,3,2,1475,1986
Single Family Residential,3497 E Waterview Dr,Chandler,AZ,85249,474900,2,2,1680,2001
Condo/Co-op,1800 W Elliot Rd #209,Chandler,AZ,85224,289999,2,1.25,891,1987
Single Family Residential,3800 S Clubhouse Dr #2,Chandler,AZ,85248,3000000,5,5.5,6486,2001
Single Family Residential,1913 W Spruce Dr,Chandler,AZ,85286,649000,5,3,3053,1993
Single Family Residential,2128 E Leo Pl,Chandler,AZ,85249,975000,5,3.5,4637,2001
Single Family Residential,4375 S Cooper Rd,Chandler,AZ,85249,1888000,4,2,3363,2001
Single Family Residential,5750 S Dragoon Dr,Chandler,AZ,85249,719900,4,2.5,2685,2002
Townhouse,870 S Palm Ln #56,Chandler,AZ,85225,289000,2,2,837,1986
Single Family Residential,2106 N Comanche Dr,Chandler,AZ,85224,495000,4,2,1422,1979
Townhouse,3800 S Cantabria Cir #1005,Chandler,AZ,85248,440000,2,2,1564,1998
Single Family Residential,11337 E Elmhurst Dr,Chandler,AZ,85249,2299000,5,5.5,5751,2014
Single Family Residential,1591 E Hazeltine Way #14,Chandler,AZ,85249,438000,2,2,1566,1994
Single Family Residential,11132 E Watford Ct,Sun Lakes,AZ,85248,488000,2,2,1810,1994
Single Family Residential,4241 S Danyell Dr,Chandler,AZ,85249,875000,5,3.5,3996,2004
Single Family Residential,730 N Madrid Ln,Chandler,AZ,85226,775000,5,3,3108,1992
Mobile/Manufactured Home,25611 S Montana Ave,Sun Lakes,AZ,85248,269000,2,2,1585,1980
Single Family Residential,26406 S Beech Creek Dr,Sun Lakes,AZ,85248,545000,3,2,2317,1984
Mobile/Manufactured Home,26629 S Maricopa Pl,Sun Lakes,AZ,85248,299000,2,2,1153,1980
Single Family Residential,2855 E Honeysuckle Pl,Chandler,AZ,85286,789900,5,3.5,3667,2006
Single Family Residential,4312 E Colonial Dr,Chandler,AZ,85249,495000,3,2,1764,2004
Single Family Residential,845 W Azalea Dr,Chandler,AZ,85248,797677,5,3,3076,1999
Mobile/Manufactured Home,8811 E Illinois Ave,Sun Lakes,AZ,85248,279000,3,2,1344,1982
Townhouse,1038 E Iris Dr,Chandler,AZ,85286,465000,4,2.5,1905,2004
Single Family Residential,4620 S Robins Way,Chandler,AZ,85249,899000,5,3.5,4608,2005
Single Family Residential,3605 E Gemini Pl,Chandler,AZ,85249,1199999,5,4.5,4200,2016
Single Family Residential,4432 E Sagittarius Pl,Chandler,AZ,85249,1495000,5,3.5,4261,2004
Single Family Residential,6541 S Lake Forest Dr,Chandler,AZ,85249,300000,2,2,959,1992
Single Family Residential,2411 W Binner Dr,Chandler,AZ,85224,585000,3,2,2154,1996
Single Family Residential,4424 E Glacier Pl,Chandler,AZ,85249,829000,4,3.5,3221,2016
Single Family Residential,25829 S Cloverland Dr,Sun Lakes,AZ,85248,579000,2,2,2159,1994
Single Family Residential,3324 N Apollo Dr,Chandler,AZ,85224,455000,3,2,1544,1979
Single Family Residential,5733 S Amberwood Dr,Chandler,AZ,85248,800000,4,3,3435,1995
Single Family Residential,9254 S Poplar St,Tempe,AZ,85284,945900,4,2.5,2867,1984
Single Family Residential,1530 W Boise Pl,Chandler,AZ,85224,493500,4,2,1662,1980
Single Family Residential,304 W EL Prado Rd,Chandler,AZ,85225,449000,3,2,1300,1982
Single Family Residential,24943 S Lakewood Dr,Sun Lakes,AZ,85248,469000,2,1.75,1763,1997
Single Family Residential,10915 E Chestnut Dr,Sun Lakes,AZ,85248,585000,2,2,2668,1991
Single Family Residential,5180 W Shannon St,Chandler,AZ,85226,589900,4,2.5,2341,1994
Single Family Residential,740 W Azalea Dr,Chandler,AZ,85248,1449000,4,3.5,3633,1998
Single Family Residential,6250 S Championship Dr,Chandler,AZ,85249,379000,2,2,1258,1993
Single Family Residential,801 E Chicago St,Chandler,AZ,85225,580000,3,2,2045,1994
Single Family Residential,3562 W Linda Ln,Chandler,AZ,85226,639000,4,3,2324,1990
Mobile/Manufactured Home,6210 S Cypress Point Dr,Chandler,AZ,85249,257900,1,1.5,921,1987
Single Family Residential,2609 N Pleasant Dr,Chandler,AZ,85225,479900,3,2,1643,1980
Single Family Residential,6182 W Gary Dr,Chandler,AZ,85226,1230888,5,3.5,3817,1997
Single Family Residential,260 S Oregon St,Chandler,AZ,85225,499900,2,1,1109,1916
Single Family Residential,1110 W Monterey St,Chandler,AZ,85224,829000,5,3.5,4023,1973
Single Family Residential,4350 W Beechcraft Pl,Chandler,AZ,85226,4500000,4,4.5,4742,2020
Single Family Residential,9310 E Sun Lakes Blvd N,Sun Lakes,AZ,85248,459000,2,2,1562,1977
Single Family Residential,24412 S Berrybrook Dr,Sun Lakes,AZ,85248,895000,4,3,3434,2005
Single Family Residential,25042 S Drifter Dr,Sun Lakes,AZ,85248,429000,2,2,1540,1993
Single Family Residential,1670 W Saragosa St,Chandler,AZ,85224,600000,3,2,1954,1997
Single Family Residential,501 W Ebony Way,Chandler,AZ,85248,699000,6,3,3437,2000
Single Family Residential,3947 W Roundabout Cir,Chandler,AZ,85226,450000,3,2,1269,2005
Condo/Co-op,3800 S Cantabria Cir #1041,Chandler,AZ,85248,450000,2,2,1764,1998
Condo/Co-op,3330 S Gilbert Rd #2015,Chandler,AZ,85286,370000,2,2,1128,2006
Single Family Residential,23601 S Desert Dance Ct,Sun Lakes,AZ,85248,789000,3,3,2456,1997
Single Family Residential,3402 E Cherry Hills Pl,Chandler,AZ,85249,415000,2,2,1149,2001
Single Family Residential,1431 E Gary Dr,Chandler,AZ,85225,515000,3,2.5,1655,1993
Single Family Residential,769 E Cherrywood Pl,Chandler,AZ,85249,699000,5,3,3080,2003
Single Family Residential,700 W Azalea Dr,Chandler,AZ,85248,1814900,4,3.5,3467,2001
Single Family Residential,2850 S Camellia Dr,Chandler,AZ,85286,599500,3,2,1859,1999
Single Family Residential,2141 E Remington Pl,Chandler,AZ,85286,614900,4,2.5,2378,2000
Single Family Residential,4640 E Karsten Dr E,Chandler,AZ,85249,632500,4,2,2472,2003
Mobile/Manufactured Home,1650 S Arizona Ave #103,Chandler,AZ,85286,64999,3,1,980,1980
Single Family Residential,831 N Santa Anna St,Chandler,AZ,85224,585000,3,2,2142,1991
Townhouse,5513 W Venus Way,Chandler,AZ,85226,370000,2,2,910,1984
Mobile/Manufactured Home,8821 E Illinois Ave,Sun Lakes,AZ,85248,275000,2,2,1248,1974
Condo/Co-op,1825 W Ray Rd #2010,Chandler,AZ,85224,310000,1,1,675,1989
Single Family Residential,6792 S Santa Rita Way,Chandler,AZ,85249,625000,3,2,2185,2004
Single Family Residential,4160 S Lafayette Pl,Chandler,AZ,85249,899000,5,3,3440,2004
Townhouse,2875 W Highland St #1188,Chandler,AZ,85224,389900,3,2.5,1603,1987
Single Family Residential,440 W Cedar Dr,Chandler,AZ,85248,729900,4,2.5,3166,1998
Single Family Residential,283 N Crosscreek Dr,Chandler,AZ,85225,629900,3,2.5,2412,2014
Single Family Residential,3591 S Salt Cedar St,Chandler,AZ,85286,689000,6,2.5,3057,2006
Single Family Residential,1777 W Ocotillo Rd #26,Chandler,AZ,85248,1075000,4,4.5,3661,2012
Townhouse,4077 S Sabrina Dr #62,Chandler,AZ,85248,485000,3,2.5,1456,2021
Single Family Residential,921 W Glacier Dr,Chandler,AZ,85248,890000,4,3.5,3236,2017
Single Family Residential,2106 E Crescent Pl,Chandler,AZ,85249,980000,4,3.5,3989,2005
Single Family Residential,2225 E San Carlos Pl,Chandler,AZ,85249,799950,4,3,3263,2002
Single Family Residential,2140 E Aquarius Pl,Chandler,AZ,85249,990000,4,3,3206,2020
Condo/Co-op,2511 W Queen Creek Rd #124,Chandler,AZ,85248,450000,1,1.5,861,2016
Townhouse,250 W Queen Creek Rd #245,Chandler,AZ,85248,510000,3,3,1934,2016
Single Family Residential,6327 W Laredo St,Chandler,AZ,85226,425000,3,2,1120,1984
Single Family Residential,1691 E Gary Dr,Chandler,AZ,85225,650000,7,3.5,3216,1990
Single Family Residential,1462 E Torrey Pines Ln,Chandler,AZ,85249,349000,2,2,1086,2000
Single Family Residential,1272 W Laredo St,Chandler,AZ,85224,419000,3,2,1635,1974
Single Family Residential,25825 S Foxglenn Dr,Sun Lakes,AZ,85248,550000,3,2,1922,1984
Single Family Residential,5630 W Kesler St,Chandler,AZ,85226,600000,3,2,1917,1987
Single Family Residential,1717 E Lindrick Dr,Chandler,AZ,85249,375000,2,1.75,1017,1998
Single Family Residential,1261 E Springfield Pl,Chandler,AZ,85286,749900,3,3,2245,2020
Single Family Residential,1201 E Torrey Pines Ln,Chandler,AZ,85249,479000,2,2,1600,1998
Single Family Residential,1734 W Coconino Dr,Chandler,AZ,85248,929000,4,2.5,3227,2003
Single Family Residential,3810 S Thistle Dr,Chandler,AZ,85248,910000,5,3.5,3556,1996
Single Family Residential,881 W Folley St,Chandler,AZ,85225,939000,5,4.5,4695,2006
Single Family Residential,730 N Chippewa Pl,Chandler,AZ,85224,644000,4,3,2553,1973
Single Family Residential,3207 E Sagittarius Ct,Chandler,AZ,85249,725999,4,2.5,2843,2003
Single Family Residential,739 E Prescott Dr,Chandler,AZ,85249,619000,4,2,2481,2003
Townhouse,1287 N Alma School Rd #156,Chandler,AZ,85224,247400,1,1,718,2001
Single Family Residential,9004 E Nacoma Dr,Sun Lakes,AZ,85248,675000,2,2.5,2558,1998
Single Family Residential,1341 E Bellerive Dr,Chandler,AZ,85249,352500,2,2,1170,1999
Single Family Residential,670 W Dublin St,Chandler,AZ,85225,434900,3,2,1333,1961
Single Family Residential,2408 N Evergreen St,Chandler,AZ,85225,459000,3,2,1238,1983
Condo/Co-op,1351 N Pleasant Dr #1173,Chandler,AZ,85225,239000,1,1,725,1984
Single Family Residential,2067 W Gila Ln,Chandler,AZ,85224,525000,3,2,1701,1984
Single Family Residential,1293 E Derringer Way,Chandler,AZ,85286,656500,3,3,2648,2020
Single Family Residential,2210 W Knox Rd,Chandler,AZ,85224,459888,3,2,1285,1983
Mobile/Manufactured Home,200 E Ivanhoe St #36,Chandler,AZ,85225,115000,3,1,900,1959
Single Family Residential,1945 E Aloe Pl,Chandler,AZ,85286,559900,3,1.75,1758,2002
Single Family Residential,1700 S Navajo Way,Chandler,AZ,85286,609000,3,2.5,2072,1996
Single Family Residential,4808 W Gail Dr,Chandler,AZ,85226,495000,3,2,1342,1982
Condo/Co-op,3330 S Gilbert Rd #2027,Chandler,AZ,85286,350000,2,2,1128,2006
Single Family Residential,573 W Canyon Way,Chandler,AZ,85248,4200000,4,5.5,6782,2015
Single Family Residential,6423 W Kent Dr,Chandler,AZ,85226,849990,5,3,3500,1997
Mobile/Manufactured Home,200 E Knox Rd #70,Chandler,AZ,85225,39900,2,1,720,1969
Single Family Residential,311 W Bentrup St,Chandler,AZ,85225,599000,4,3,2869,1983
Single Family Residential,2312 W Mcnair St,Chandler,AZ,85224,389900,3,2,1092,1978
Single Family Residential,3954 E Crescent Pl,Chandler,AZ,85249,874899,5,3,3868,2015
Single Family Residential,533 W Myrtle Dr,Chandler,AZ,85248,744900,4,2.5,3008,2000
Single Family Residential,2810 N Pennington Dr,Chandler,AZ,85224,490000,3,1.75,1597,1980
Single Family Residential,1553 E Fairview St,Chandler,AZ,85225,579900,3,1.75,1284,1985
Single Family Residential,1306 W Sparrow Dr,Queen Creek,AZ,85140,435980,3,2.5,1612,2023
Single Family Residential,10418 E Spring Creek Rd,Sun Lakes,AZ,85248,595000,2,2,2098,1984
Single Family Residential,806 W EL Alba Way,Chandler,AZ,85225,420000,3,2,1262,1980
Single Family Residential,26007 S Cedarcrest Dr,Sun Lakes,AZ,85248,639000,3,2,2318,1981
Single Family Residential,217 S Criss St,Chandler,AZ,85226,479000,3,2,1312,1985
Single Family Residential,634 E County Down Dr,Chandler,AZ,85249,1140000,4,3.5,3599,2004
Single Family Residential,1643 E Wildhorse Pl,Chandler,AZ,85286,615000,5,3,2566,2001
Single Family Residential,3399 S Ivy Way,Chandler,AZ,85248,860000,4,3.5,3514,2014
Single Family Residential,3825 W Folley St,Chandler,AZ,85226,469900,3,2,1327,1986
Condo/Co-op,2511 W Queen Creek Rd #132,Chandler,AZ,85248,450000,1,1.5,861,2016
Townhouse,3800 S Cantabria Cir #1089,Chandler,AZ,85248,429999,2,2,1764,1998
Single Family Residential,225 S Rush Cir E,Chandler,AZ,85226,590000,4,2.5,2626,1990
Single Family Residential,1064 W Musket Way,Chandler,AZ,85286,799000,4,2.5,2965,2000
Single Family Residential,1650 E Lynx Pl,Chandler,AZ,85249,785000,5,2.5,3119,2001
Single Family Residential,8559 Edwin Dr,Los Angeles,CA,90046,3350000,3,4,3940,1964
Single Family Residential,11423 Freedom Ln,Pacoima,CA,91331,725000,4,2.5,1575,2012
Single Family Residential,1067 W 19th St,San Pedro,CA,90731,925000,2,2,1147,1927
Single Family Residential,5344 Yolanda Ave,Tarzana,CA,91356,1099000,3,2,1260,1950
Single Family Residential,15809 Bassett St,Van Nuys,CA,91406,1150000,4,2,1900,1959
Condo/Co-op,11718 Darlington Ave #6,Los Angeles,CA,90049,795000,2,2,1005,1967
Single Family Residential,22641 Macfarlane Dr,Woodland Hills,CA,91364,1999000,6,3.5,3803,1955
Condo/Co-op,4239 Via Arbolada #201,Los Angeles,CA,90042,499999,2,2,1023,1982
Single Family Residential,611 Mildred Ave,Venice,CA,90291,2695000,4,3.5,2878,1981
Condo/Co-op,1750 Camino Palmero St #442,Los Angeles,CA,90046,539000,1,1,772,1974
Single Family Residential,12325 Addison St,Valley Village,CA,91607,1799000,3,2,1929,1956
Single Family Residential,8458 Hooper Ave Ave,Los Angeles,CA,90001,659000,4,3,1376,1925
Single Family Residential,20709 Germain St,Chatsworth,CA,91311,1099000,3,2,2178,1962
Single Family Residential,750 W 98th St,Los Angeles,CA,90044,519000,2,1,622,1928
Single Family Residential,765 Mccarthy,Los Angeles,CA,90048,2395000,3,2.5,2629,1933
Condo/Co-op,540 Kelton Ave #102,Los Angeles,CA,90024,739000,2,2.5,1191,1964
Condo/Co-op,1424 Brett Pl #252,San Pedro,CA,90732,479000,1,1,864,1987
Multi-Family (2-4 Unit),740 E 83rd St,Los Angeles,CA,90001,739900,3,2,2062,1941
Condo/Co-op,939 S Broadway #413,Los Angeles,CA,90015,559000,1,1,700,1924
Single Family Residential,11131 Parr Ave,Sunland,CA,91040,920000,5,3,2146,1959
Condo/Co-op,1525 N Hayworth Ave #302,Los Angeles,CA,90046,1200000,3,2.5,2140,1959
Condo/Co-op,950 N Kings Rd #245,West Hollywood,CA,90069,669000,1,1,793,1973
Single Family Residential,2630 Cullen St,Los Angeles,CA,90034,1899000,6,3,3040,1947
Condo/Co-op,1441 Brett Pl #224,San Pedro,CA,90732,424900,1,1,726,1987
Condo/Co-op,3672 Hughes Ave #2,Los Angeles,CA,90034,879900,2,2,1210,1972
Single Family Residential,10710 Belmar Ave,Porter Ranch,CA,91326,1849000,5,3.5,3350,1968
Single Family Residential,527 W 36th St,San Pedro,CA,90731,1498000,4,3,3498,1989
Multi-Family (2-4 Unit),2339 Birkdale St,Los Angeles,CA,90031,1150000,8,4,3150,1963
Townhouse,1221 N Sycamore Ave #3,Los Angeles,CA,90038,769000,2,3,918,1985
Single Family Residential,7708 Stanford Ave,Los Angeles,CA,90001,510000,2,1,784,1930
Townhouse,2753 Waverly Dr #705,Los Angeles,CA,90039,1100000,2,3,1243,2016
Multi-Family (2-4 Unit),742 E 78th St,Los Angeles,CA,90001,690000,5,3,1718,1956
Single Family Residential,1633 N Beverly Dr,Beverly Hills,CA,90210,2899000,2,2.5,1978,1936
Single Family Residential,7282 Woodvale Ct,West Hills,CA,91307,1250000,3,3,1815,1987
Condo/Co-op,4239 Via Arbolada #210,Los Angeles,CA,90042,599000,2,2,1023,1982
Condo/Co-op,15050 Victory Blvd #103,Van Nuys,CA,91411,460000,2,2,1193,1977
Condo/Co-op,11921 Dorothy St #302,Los Angeles,CA,90049,1799000,3,2.5,1870,2000
Single Family Residential,1238-1/8 Cahuenga Blvd,Hollywood,CA,90038,695000,1,1,518,1923
Single Family Residential,4347 Canoga Dr,Woodland Hills,CA,91364,1150000,4,2,2327,1962
Condo/Co-op,16255 Devonshire St #55,Granada Hills,CA,91344,550000,3,2,1254,1979
Condo/Co-op,5880 Bowcroft St #2,Los Angeles,CA,90016,500000,1,1,832,1949
Single Family Residential,9463 Dorrington Ave,Arleta,CA,91331,699000,3,1,1206,1951
Single Family Residential,10943 Kester Ave,Mission Hills (san Fernando),CA,91345,650000,3,1,1112,1952
Single Family Residential,21135 Hobart Blvd,Torrance,CA,90501,799000,3,2,1379,1953
Multi-Family (2-4 Unit),2500 Lucerne Ave,Los Angeles,CA,90016,849000,2,2,1656,1924
Single Family Residential,1514 W 30th St,Los Angeles,CA,90007,690000,1,1.5,552,1922
Single Family Residential,6635 Ferrara St,Los Angeles,CA,90042,950000,3,1,1092,1923
Multi-Family (2-4 Unit),1138 W 11th St,San Pedro,CA,90731,999999,3,3,2564,1925
Single Family Residential,879 W 6th St,San Pedro,CA,90731,799000,3,1,1102,1956
Multi-Family (2-4 Unit),6800 Denver Ave,Los Angeles,CA,90044,699999,8,4,1098,1923
Single Family Residential,8934 Cimarron St,Los Angeles,CA,90047,599998,2,1,1145,1939
Single Family Residential,21470 Arapahoe Trl,Chatsworth,CA,91311,785000,3,2.5,1892,1991
Single Family Residential,22631 Gilmore St,West Hills,CA,91307,1200000,4,2,2114,1958
Condo/Co-op,10878 Bloomfield St #208,Toluca Lake,CA,91602,991367,3,2.5,1950,2009
Condo/Co-op,12601 Van Nuys Blvd #225,Pacoima,CA,91331,370000,3,2,886,1989
Single Family Residential,637 N Gardner St,Los Angeles,CA,90036,3449500,5,4.5,4261,2016
Single Family Residential,1253 W 19th St,San Pedro,CA,90731,1295000,3,2,2278,1940
Multi-Family (5+ Unit),835 S Sherbourne Dr,Los Angeles,CA,90035,5500000,19,18,11558,1957
Single Family Residential,495 Witmer St,Los Angeles,CA,90017,1395000,8,8,2646,1915
Single Family Residential,6242 Lindley,Encino,CA,91316,1800000,4,3.5,3071,2023
Single Family Residential,27723 S Faircliff Dr,San Pedro,CA,90732,1147351,4,3.5,2057,2023
Single Family Residential,8343 JUMILLA,Winnetka,CA,91306,699999,2,1,862,1949
Single Family Residential,5415 Reynier Ave,Los Angeles,CA,90056,1699000,3,3,2384,1957
Single Family Residential,14582 Valley Vista Blvd,Sherman Oaks,CA,91403,8500000,5,7,7085,2018
Single Family Residential,848 N Las Palmas Ave,Los Angeles,CA,90038,3495000,6,6.5,3474,1924
Townhouse,8007 Via Verona,Burbank,CA,91504,848888,3,3,1602,1978
Single Family Residential,10401 Wyton Dr,Los Angeles,CA,90024,8999999,8,10,7371,1934
Condo/Co-op,6250 Hollywood Blvd Unit 8K,Los Angeles,CA,90028,825000,2,2,1480,2009
Single Family Residential,8002 Hazeltine Ave,Panorama City,CA,91402,549995,3,1,1018,1949
Single Family Residential,4901 Patrae St,Los Angeles,CA,90066,1975000,4,2.5,2145,1971
Multi-Family (5+ Unit),1231 S Bundy Dr,Los Angeles,CA,90025,7000000,23,23,13907,1970
Single Family Residential,489 S Willaman Dr,Los Angeles,CA,90048,3995000,6,6.5,4351,2022
Single Family Residential,10010 Independence Ave,Chatsworth,CA,91311,975000,3,2,1850,1948
Multi-Family (2-4 Unit),814 Gulf Ave,Wilmington,CA,90744,1099999,8,4,2822,1931
Single Family Residential,3620 5th Ave,Los Angeles,CA,90018,1399000,3,2,1448,1912
Condo/Co-op,1033 Carol Dr #106,West Hollywood,CA,90069,1595000,2,3,1451,1975
Single Family Residential,12253 N Lima Way,Sylmar,CA,91342,695000,4,2.5,1574,2017
Single Family Residential,449 Lewis St,Los Angeles,CA,90042,1349000,4,3,1500,1922
Multi-Family (2-4 Unit),812 N Beaudry Ave,Los Angeles,CA,90012,1275000,4,4,2799,1940
Townhouse,5207 Village,Los Angeles,CA,90016,649000,2,1,826,1942
Single Family Residential,521 Rose Ave,Venice,CA,90291,3599000,7,6,3987,2017
Multi-Family (2-4 Unit),1330 Menlo Ave,Los Angeles,CA,90006,750000,3,3,2128,1954
Townhouse,4314 Glencoe Ave #6,Marina Del Rey,CA,90292,1250000,2,2.5,1547,1974
Condo/Co-op,5420 Lindley Ave #27,Encino,CA,91316,799999,3,3,1890,1973
Single Family Residential,16427 San Jose St,Granada Hills,CA,91344,1134900,4,3,1640,1958
Multi-Family (2-4 Unit),622 W Oliver St,San Pedro,CA,90731,839000,4,2,1581,1926
Multi-Family (2-4 Unit),5838 Chariton Ave,Ladera Heights,CA,90056,1600000,4,4,2471,1955
Single Family Residential,17230 Silver Ln,Encino,CA,91316,2995000,6,7,6263,1988
Single Family Residential,2143 Fargo St,Los Angeles,CA,90039,1029000,2,1,820,1905
Single Family Residential,641 Crestmoore Pl,Venice,CA,90291,2495000,2,2.5,1912,1948
Single Family Residential,4130 Parva Ave,Los Angeles,CA,90027,4850000,5,5,5492,1992
Single Family Residential,7825 Hillside Ave,Los Angeles,CA,90046,4995000,5,5,3700,1938
Single Family Residential,20317 Arminta St,Winnetka,CA,91306,1071000,5,3.5,2998,1978
Single Family Residential,583 E Ellis Ave,Inglewood,CA,90302,919000,3,1,900,1923
Single Family Residential,6727 7th Ave,Los Angeles,CA,90043,625000,2,1,980,1923
Single Family Residential,1425 W 79th St,Los Angeles,CA,90047,799900,3,2,1356,1929
Single Family Residential,12880 Bromont Ave,San Fernando,CA,91340,800000,3,2,1563,1961
Condo/Co-op,5376 Fairview Blvd #205,Los Angeles,CA,90056,1200000,3,3,2276,1968
Multi-Family (2-4 Unit),14801 Polk St,Sylmar,CA,91342,698000,5,3,1772,1951
Single Family Residential,884 N Beverly Glen Blvd,Los Angeles,CA,90077,1375000,2,2,1650,1937
Single Family Residential,3876 Reklaw Dr,Studio City,CA,91604,2099000,2,2,1377,1949
Multi-Family (2-4 Unit),1363 Hauser Blvd,Los Angeles,CA,90019,1475000,4,4,3352,1947
Condo/Co-op,645 W 9th St #522,Los Angeles,CA,90015,435000,1,1,660,2006
Single Family Residential,3066 Franklin Canyon Dr,Beverly Hills,CA,90210,2088000,3,3,2706,1978
Single Family Residential,22129 Bassett St,Canoga Park,CA,91303,925000,4,3,1911,1952
Single Family Residential,727 W 147th St,Gardena,CA,90247,859000,4,2,1572,1948
Single Family Residential,10427-10425 Samoa Ave,Tujunga,CA,91042,2199500,9,6.5,4536,1941
Single Family Residential,13040 Evanston St,Los Angeles,CA,90049,15670000,6,7,8652,1926
Condo/Co-op,929 S St Andrews Pl #301,Los Angeles,CA,90019,930000,3,2.5,1830,2005
Condo/Co-op,16866 Kingsbury St #208,Granada Hills,CA,91344,480000,2,2,1167,1980
Single Family Residential,677 Nimes Rd,Los Angeles,CA,90077,49950000,6,11,20000,2023
Multi-Family (2-4 Unit),1722 S La Brea Ave,Los Angeles,CA,90019,799000,3,3,1800,1941
Townhouse,19125 Haynes St #2,Reseda,CA,91335,625000,3,2,1297,1976
Single Family Residential,23046 Leonora Dr,Woodland Hills,CA,91367,1195000,3,3,1950,1939
Condo/Co-op,1440 Veteran Ave #235,Los Angeles,CA,90024,599000,1,1,693,1972
Single Family Residential,1248 E 78th St,Los Angeles,CA,90001,380000,3,2,1096,1964
Townhouse,9000 Vanalden Ave #175,Northridge,CA,91324,649900,2,2.5,1458,1979
Multi-Family (2-4 Unit),4758 Hickory St,Los Angeles,CA,90016,1449000,5,3.5,1955,1926
Single Family Residential,1702 Island Ave,Wilmington,CA,90744,849900,3,4,2271,1959
Single Family Residential,19241 Chase St,Northridge,CA,91324,980000,5,3,2934,1985
Single Family Residential,2755 Valle Vista Dr,Glendale,CA,91206,2225000,4,3,2754,1970
Condo/Co-op,852 N Poinsettia Pl #2,Los Angeles,CA,90046,999000,3,2.5,1623,1990
Single Family Residential,4851 Angeles Vista Blvd,View Park,CA,90043,1498000,3,2,2075,1930
Condo/Co-op,10560 Wilshire Blvd #1803,Los Angeles,CA,90024,3599000,2,3.5,3605,1982
Condo/Co-op,5460 White Oak Ave Unit G313,Encino,CA,91316,269999,1,1,712,1971
Single Family Residential,6657 Noble Ave,Van Nuys,CA,91405,749000,2,2,1502,1951
Townhouse,803 Wilcox Ave #2,Los Angeles,CA,90038,999000,2,2,1573,2008
Single Family Residential,13143 Cranston Ave,Sylmar,CA,91342,1075000,6,3,2101,1964
Single Family Residential,12477 Pierce St,Pacoima,CA,91331,680000,4,2,1263,1968
