PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP CODE,PRICE,BEDS,BATHS,SQ. FT,YEAR BUILT
Single Family Residential,714 Broadway St,Homewood,AL,35209,1250000,4,3.5,2940,2023
Condo/Co-op,3154 Parkridge Dr #204,Homewood,AL,35209,479900,2,2,1082,2007
Single Family Residential,6510 Creek Cir,Bessemer,AL,35022,345000,4,3,2562,2017
Single Family Residential,177 Narrows Peak Cir,Birmingham,AL,35242,314900,3,2,1770,2005
Single Family Residential,140 Grove Dr,Birmingham,AL,35211,389900,3,2.5,1748,2022
Condo/Co-op,1010 Gables Dr #1010,Hoover,AL,35244,165000,2,2,1335,1988
Single Family Residential,604 54th St S,Birmingham,AL,35212,369000,3,2,2024,1930
Single Family Residential,73 Country Club Blvd,Mountain Brook,AL,35213,2599000,5,6.5,5359,1937
Single Family Residential,1937 Cherry Ave,Birmingham,AL,35214,249000,3,3,2480,1966
Condo/Co-op,2201 5th Ave S #307,Birmingham,AL,35233,259900,1,1,646,1925
Single Family Residential,724 Preserve Way,Hoover,AL,35226,509900,3,2,1687,2011
Single Family Residential,1986 Cahaba Cv,Hoover,AL,35244,429900,3,2,1523,2009
Single Family Residential,1783 Southpointe Dr,Hoover,AL,35244,615000,4,3,3349,2013
Single Family Residential,5298 S Broken Bow Dr,Birmingham,AL,35242,440000,3,3,2595,2002
Single Family Residential,2309 Farley Rd,Hoover,AL,35226,425000,3,2,2730,1961
Single Family Residential,2621 Montauk Rd,Hoover,AL,35226,600000,4,3,3082,2016
Single Family Residential,2524 Titonka Rd,Birmingham,AL,35244,499900,5,4,3600,1973
Single Family Residential,9 80th St N,Birmingham,AL,35206,330000,5,3.5,2424,1925
Single Family Residential,1529 46th Street Ensley,Birmingham,AL,35208,60000,3,1,1656,1925
Condo/Co-op,2311 20th Ave S Unit D,Birmingham,AL,35223,253000,2,1,831,1956
Single Family Residential,2104 Allen Cir,Birmingham,AL,35207,260000,3,3,5160,2000
Single Family Residential,315 Avenue U,Birmingham,AL,35214,75000,2,1,1088,1925
Single Family Residential,320 Argonne Dr,Center Point,AL,35215,104900,3,1,911,1966
Single Family Residential,1085 Legacy Dr,Hoover,AL,35242,879900,5,6,4538,2000
Single Family Residential,3301 Birdsong Way,Birmingham,AL,35242,379000,3,2.5,1956,1985
Single Family Residential,1408 Sunshine Dr,Birmingham,AL,35213,330000,3,2,1600,1968
Single Family Residential,2012 Brewster Rd,Birmingham,AL,35235,199000,3,2,1744,1954
Single Family Residential,1609 Cypress Cir,Hoover,AL,35244,450000,4,2.5,2753,1992
Single Family Residential,5278 Cottage Ln,Hoover,AL,35226,300000,3,2,1170,1998
Single Family Residential,8015 5th Ave N,Birmingham,AL,35206,50000,2,1,1092,1920
Single Family Residential,1208 44th Pl N,Birmingham,AL,35212,48000,2,1,672,1950
Single Family Residential,508 Oak Glen Trce,Hoover,AL,35244,385000,3,2.5,2990,1986
Townhouse,821 Reach Crst,Birmingham,AL,35242,284900,3,2.5,1857,2003
Single Family Residential,4115 Old Leeds Ln,Mountain Brook,AL,35213,4199000,4,5,9916,2001
Single Family Residential,748 Cedar Crest Ln,Birmingham,AL,35214,234900,5,3,3232,1972
Single Family Residential,808 Jeffery Cir,Birmingham,AL,35235,320000,5,3,2420,1973
Single Family Residential,8128 Rugby Ave,Birmingham,AL,35206,35000,2,1,934,1927
Single Family Residential,108 Alder Ave,Birmingham,AL,35214,37500,3,3,1520,1920
Single Family Residential,5125 S Broken Bow Dr,Birmingham,AL,35242,399900,3,2.5,1675,1984
Single Family Residential,8208 2nd Ave S,Birmingham,AL,35206,140000,3,1,1570,1953
Single Family Residential,7321 4th Ave N,Birmingham,AL,35206,130000,3,2,1183,1956
Single Family Residential,4709 5th Ave S,Birmingham,AL,35222,375000,3,1,1464,1930
Single Family Residential,2549 29th Pl W,Birmingham,AL,35208,37500,2,1,1309,1910
Single Family Residential,3325 Overbrook Rd,Mountain Brook,AL,35213,1199000,4,5,4371,1940
Condo/Co-op,2416 1st Ave N #22,Birmingham,AL,35203,349900,2,1,1224,1925
Single Family Residential,701 Devon Dr,Homewood,AL,35209,639900,4,3,2691,1977
Single Family Residential,6929 2nd Ave S,Birmingham,AL,35212,224900,3,2,1244,2016
Single Family Residential,1108 41st St,Birmingham,AL,35208,196000,3,2,2248,1935
Single Family Residential,1337 42nd St,Birmingham,AL,35208,124900,4,1,1726,1925
Single Family Residential,2004 10th Way,Birmingham,AL,35214,52000,3,1,1273,1940
Single Family Residential,224 Oregon St,Birmingham,AL,35224,59900,3,1.5,1155,1948
Single Family Residential,386 Lake Rd,Hoover,AL,35242,930000,5,4.5,4089,2006
Single Family Residential,1321 Rayfield Dr,Midfield,AL,35228,45000,2,1,720,1951
Condo/Co-op,1206 Barristers Ct #1206,Birmingham,AL,35242,310000,2,2.5,1486,2010
Single Family Residential,1718 Sandy Ridge Way,Hoover,AL,35244,445000,4,3.5,3272,1998
Single Family Residential,5141 6th Ave S,Birmingham,AL,35212,335000,2,1,1050,1930
Single Family Residential,21 Ridge Dr,Mountain Brook,AL,35213,3495000,4,4.5,6414,1946
Townhouse,502 Cedar Crest Dr,Hoover,AL,35216,219900,2,2,1596,1984
Townhouse,4105 Eagle Ridge Ct,Birmingham,AL,35242,345000,3,2.5,1738,2016
Single Family Residential,8035 S 5th Ave,Birmingham,AL,35206,59900,3,1,1076,1935
Single Family Residential,953 3rd St W,Birmingham,AL,35204,110000,3,1,1660,1925
Single Family Residential,401 Oregon St,Birmingham,AL,35224,50000,3,1,1120,1935
Single Family Residential,2072 Regent Park Ln,Birmingham,AL,35242,535000,4,3.5,2989,2009
Single Family Residential,2900 16th Pl,Homewood,AL,35209,1150000,5,3.5,3200,2023
Single Family Residential,1940 Day Ave,Tarrant,AL,35217,165000,3,2,907,1963
Single Family Residential,900 Buffalo St,Birmingham,AL,35224,199000,3,2,1746,1930
Single Family Residential,301 66th St S,Birmingham,AL,35212,115000,4,2,3134,1895
Single Family Residential,624 Esplanade Dr,Birmingham,AL,35206,281700,3,3,2342,1959
Single Family Residential,8744 4th Ave S,Birmingham,AL,35206,225000,4,2,2380,1952
Single Family Residential,7208 Higdon Rd,Birmingham,AL,35212,70000,3,1,957,1960
Single Family Residential,1619 Graymont Ave,Birmingham,AL,35208,149000,3,2,1342,1950
Single Family Residential,3917 41st Ave N,Birmingham,AL,35217,189000,3,2,1492,1939
Single Family Residential,1833 Montclair Rd,Irondale,AL,35210,260000,4,2,1404,1963
Single Family Residential,211 4th Ave,Midfield,AL,35228,62500,3,1,1064,1940
Single Family Residential,3444 Portsmouth Dr,Hoover,AL,35226,415000,4,2.5,2116,1969
Single Family Residential,124 11th Ave SW,Birmingham,AL,35211,149000,3,1,955,1951
Single Family Residential,2128 Woods Trce,Hoover,AL,35244,415000,4,3.5,2926,1996
